kernel_n_factor,kernel_n_epoch,kernel_lr,kernel_reg,update_epoch,update_lr,mae
10,50,0.001,0.1,50,0.0001,0.7433060260239911
10,50,0.001,0.1,50,0.001,0.7457791729848682
10,50,0.001,0.1,50,0.01,0.8288488446272642
10,50,0.001,0.1,50,0.1,0.8786216013550638
10,50,0.001,0.1,100,0.0001,0.7419058028247507
10,50,0.001,0.1,100,0.001,0.7555637810505405
10,50,0.001,0.1,100,0.01,0.8574458506162078
10,50,0.001,0.1,100,0.1,0.8780413265307507
10,50,0.001,0.1,200,0.0001,0.7437196338726456
10,50,0.001,0.1,200,0.001,0.7813159998522836
10,50,0.001,0.1,200,0.01,0.8708365683529702
10,50,0.001,0.1,200,0.1,0.8852747962326173
10,50,0.01,0.0001,10,0.0001,0.7786875919954116
10,50,0.01,0.0001,10,0.001,0.7813609952176522
10,50,0.01,0.0001,10,0.01,0.795031733582951
10,50,0.01,0.0001,10,0.1,0.8856262789028122
10,50,0.01,0.0001,50,0.0001,0.7842610268046352
10,50,0.01,0.0001,50,0.001,0.7858431894200264
10,50,0.01,0.0001,50,0.01,0.8631398360257547
10,50,0.01,0.0001,50,0.1,0.9515296751149984
10,50,0.01,0.0001,100,0.0001,0.7781746455844587
10,50,0.01,0.0001,100,0.001,0.8035249669052801
10,50,0.01,0.0001,100,0.01,0.8862714386805033
10,50,0.01,0.0001,100,0.1,0.996972009667172
10,50,0.01,0.0001,200,0.0001,0.7842442126780189
10,50,0.01,0.0001,200,0.001,0.8124446552943736
10,50,0.01,0.0001,200,0.01,0.91596418921347
10,50,0.01,0.0001,200,0.1,0.9852090041147998
10,50,0.01,0.001,10,0.0001,0.7825677711926929
10,50,0.01,0.001,10,0.001,0.7819969915200752
10,50,0.01,0.001,10,0.01,0.7952437467968326
10,50,0.01,0.001,10,0.1,0.9047819897942608
10,50,0.01,0.001,50,0.0001,0.7793321356157126
10,50,0.01,0.001,50,0.001,0.7864522694123287
10,50,0.01,0.001,50,0.01,0.8639118167454571
10,50,0.01,0.001,50,0.1,0.9527325223153308
10,50,0.01,0.001,100,0.0001,0.7817205986239116
10,50,0.01,0.001,100,0.001,0.7996630211446496
10,50,0.01,0.001,100,0.01,0.8944946294774613
10,50,0.01,0.001,100,0.1,0.9818584126293876
10,50,0.01,0.001,200,0.0001,0.782694974960794
10,50,0.01,0.001,200,0.001,0.8194226714819998
10,50,0.01,0.001,200,0.01,0.9336836092566906
10,50,0.01,0.001,200,0.1,0.9859002746417715
10,50,0.01,0.01,10,0.0001,0.7803903050667468
10,50,0.01,0.01,10,0.001,0.7809532234275859
10,50,0.01,0.01,10,0.01,0.7889483588390891
10,50,0.01,0.01,10,0.1,0.9015445348971098
10,50,0.01,0.01,50,0.0001,0.7814406149281536
10,50,0.01,0.01,50,0.001,0.7867778094953277
10,50,0.01,0.01,50,0.01,0.8660269917610267
10,50,0.01,0.01,50,0.1,0.9373897817946714
10,50,0.01,0.01,100,0.0001,0.7810740546966196
10,50,0.01,0.01,100,0.001,0.7937513544704944
10,50,0.01,0.01,100,0.01,0.8974813535040681
10,50,0.01,0.01,100,0.1,0.9464593655351036
10,50,0.01,0.01,200,0.0001,0.7762839777762559
10,50,0.01,0.01,200,0.001,0.8148276610449255
10,50,0.01,0.01,200,0.01,0.9186793338439502
10,50,0.01,0.01,200,0.1,0.9899459451141124
10,50,0.01,0.1,10,0.0001,0.7729280904727356
10,50,0.01,0.1,10,0.001,0.7746316196963647
10,50,0.01,0.1,10,0.01,0.7859283989483287
