learning_rate,learner,embedding_size,weight_decay,train_batch_size,mae,rmse
0.001,RMSprop,512,0.01,500,0.5956749320030212,0.5784119963645935
0.001,RMSprop,512,0.01,500,0.5925867557525635,0.569092333316803
0.001,RMSprop,512,0.01,500,0.5978386998176575,0.5862507820129395
0.001,RMSprop,512,0.01,1000,0.6011730432510376,0.5860335230827332
0.001,RMSprop,512,0.01,1000,0.5886004567146301,0.5632040500640869
0.001,RMSprop,512,0.01,1000,0.5977829098701477,0.5779683589935303
0.001,RMSprop,512,0.01,1000,0.5910492539405823,0.5689083337783813
0.001,RMSprop,512,0.01,1000,0.600013792514801,0.5854963064193726
0.001,RMSprop,512,0.1,500,0.6004979610443115,0.588126540184021
0.001,RMSprop,512,0.1,500,0.5887784957885742,0.56509929895401
0.001,RMSprop,512,0.1,500,0.5964309573173523,0.5794710516929626
0.001,RMSprop,512,0.1,500,0.5930547714233398,0.571752667427063
0.001,RMSprop,512,0.1,500,0.600906252861023,0.5864887833595276
0.001,RMSprop,512,0.1,1000,0.6030953526496887,0.5880983471870422
0.001,RMSprop,512,0.1,1000,0.5886745452880859,0.5640279054641724
0.001,RMSprop,512,0.1,1000,0.5997681617736816,0.580553412437439
0.001,RMSprop,512,0.1,1000,0.5946743488311768,0.5740841627120972
0.001,RMSprop,512,0.1,1000,0.5992957949638367,0.5843891501426697
0.01,adam,64,0.01,500,0.603864848613739,0.5955013036727905
0.01,adam,64,0.01,500,0.5958672761917114,0.5798176527023315
0.01,adam,64,0.01,500,0.600545346736908,0.5854059457778931
0.01,adam,64,0.01,500,0.5976382493972778,0.5861074328422546
0.01,adam,64,0.01,500,0.5980256199836731,0.5900868773460388
0.01,adam,64,0.01,1000,0.6033952832221985,0.5956889986991882
0.01,adam,64,0.01,1000,0.5916728973388672,0.5722285509109497
0.01,adam,64,0.01,1000,0.5992539525032043,0.5851880311965942
0.01,adam,64,0.01,1000,0.5971601605415344,0.5833092927932739
0.01,adam,64,0.01,1000,0.6058295965194702,0.6008349061012268
0.01,adam,64,0.1,500,0.606346070766449,0.5992007255554199
0.01,adam,64,0.1,500,0.5877118706703186,0.5696572661399841
0.01,adam,64,0.1,500,0.6010656356811523,0.5874974727630615
0.01,adam,64,0.1,500,0.5946540236473083,0.5771153569221497
0.01,adam,64,0.1,500,0.6010998487472534,0.5909632444381714
0.01,adam,64,0.1,1000,0.6064215302467346,0.5978509187698364
0.01,adam,64,0.1,1000,0.5872020125389099,0.568506121635437
0.01,adam,64,0.1,1000,0.6011543869972229,0.592972993850708
0.01,adam,64,0.1,1000,0.5928988456726074,0.5789827108383179
0.01,adam,64,0.1,1000,0.5966318249702454,0.5870423316955566
0.01,adam,512,0.01,500,0.6161566376686096,0.6104212999343872
0.01,adam,512,0.01,500,0.6111462712287903,0.6055191159248352
0.01,adam,512,0.01,500,0.6103537678718567,0.6009823083877563
0.01,adam,512,0.01,500,0.6026202440261841,0.5913539528846741
0.01,adam,512,0.01,500,0.6079479455947876,0.6087992191314697
0.01,adam,512,0.01,1000,0.6045628786087036,0.594767689704895
0.01,adam,512,0.01,1000,0.5940961837768555,0.5737152695655823
0.01,adam,512,0.01,1000,0.602554976940155,0.5925701856613159
0.01,adam,512,0.01,1000,0.5950652360916138,0.5818079710006714
0.01,adam,512,0.01,1000,0.6068219542503357,0.5986165404319763
0.01,adam,512,0.1,500,0.6139252185821533,0.6103247404098511
0.01,adam,512,0.1,500,0.5998836755752563,0.5840758085250854
0.01,adam,512,0.1,500,0.6147027015686035,0.610446572303772
0.01,adam,512,0.1,500,0.6030117869377136,0.5915188789367676
0.01,adam,512,0.1,500,0.6135720014572144,0.6144530177116394
0.01,adam,512,0.1,1000,0.6059549450874329,0.6016964316368103
0.01,adam,512,0.1,1000,0.5971365571022034,0.5862893462181091
0.01,adam,512,0.1,1000,0.6059268712997437,0.595072865486145
0.01,adam,512,0.1,1000,0.5980861783027649,0.5911530256271362
0.01,adam,512,0.1,1000,0.6027617454528809,0.5959361791610718
